driver_id,full_name,birth_date,balance,trips_per_month,avg_speed_kph,plate_letter1,plate_number,plate_letters2,plate_region,plate_full,driver_characteristic,recommeneded_subscription,fines_count
XPWAQMEQ,Зимина Евпраксия Макаровна,1981-06-08,2853.37,54,59.8,У,724,АА,164,У724АА164,Много коротких заказов в центре,Стандартный,29
2EYSJH3D,Кошелев Василий Демьянович,1976-03-01,3504.93,30,77.6,В,815,МР,152,В815МР152,"Осторожный стиль, без резких манёвров",Стандартный,7
ZSEK7YHE,Антонова Юлия Оскаровна,2005-12-12,3081.17,117,88.9,О,035,ВС,98,О035ВС98,Регулярные межгородские рейсы,Корпоративный,10
HGE4G2MY,Рябов Фадей Федосеевич,1986-12-26,3306.6,42,92.1,О,943,КВ,68,О943КВ68,Регулярные межгородские рейсы,Стандартный,1
KRWM25UQ,Артемьева Оксана Артемовна,1964-12-27,2095.48,115,66.6,В,079,РХ,46,В079РХ46,Аккуратный городской водитель,Корпоративный,23
3GAHR3GG,Мирослав Ааронович Носов,2002-03-21,1460.27,78,53.5,У,415,АН,87,У415АН87,Частые длинные поездки по МКАД,Премиум,14
WP6XHE5T,Панкратий Чеславович Кузнецов,1987-03-05,3752.33,72,91.1,В,947,АС,177,В947АС177,"Осторожный стиль, без резких манёвров",Премиум,19
SJ2QQK5D,тов. Маслов Антип Бенедиктович,1980-02-07,1080.45,59,45.8,С,957,УЕ,42,С957УЕ42,Много коротких заказов в центре,Премиум,25
U5QGJSJ3,Горбачева Оксана Сергеевна,1966-08-05,4715.08,64,59.2,А,696,НС,60,А696НС60,"Осторожный стиль, без резких манёвров",Премиум,8
7AE2H6XZ,Евфросиния Юльевна Шубина,1987-10-04,3540.13,77,73.5,Р,718,СМ,799,Р718СМ799,Предпочитает ночные рейсы,Премиум,15
PVSGHEUK,Ерофей Трифонович Нестеров,1972-11-16,4485.11,14,41.4,О,631,ВВ,71,О631ВВ71,Предпочитает ночные рейсы,Базовый,13
M25L2Z8S,Александра Антоновна Бурова,1975-07-08,2497.63,74,71.5,Т,631,ХХ,199,Т631ХХ199,Много коротких заказов в центре,Премиум,7
KT7HKXG3,Алина Леонидовна Смирнова,1964-07-06,2713.46,43,31.1,Т,908,СЕ,57,Т908СЕ57,Новичок на платформе,Стандартный,14
KUR7KU46,Громов Кондрат Марсович,1980-03-03,1611.56,13,58.4,В,967,МУ,23,В967МУ23,Новичок на платформе,Базовый,7
D9C9F4F2,Нинель Ефимовна Маслова,1979-09-24,2552.46,17,49.7,О,215,ОН,18,О215ОН18,Аккуратный городской водитель,Базовый,20
JCUWSCDM,Зоя Дмитриевна Панова,1970-11-24,4181.51,11,39.7,О,029,ОЕ,199,О029ОЕ199,Много коротких заказов в центре,Базовый,4
S4HL5MLX,Алевтина Максимовна Зайцева,1975-11-22,1265.41,24,90.4,В,344,КТ,702,В344КТ702,Аккуратный городской водитель,Стандартный,21
XMS49WJS,Порфирий Фомич Филиппов,1966-07-14,2712.92,33,87.3,Е,899,РО,13,Е899РО13,Опытный водитель такси,Стандартный,13
SGEVV8VR,Жуков Савелий Ермолаевич,1978-10-02,743.29,111,75.5,Х,179,УН,32,Х179УН32,Регулярные межгородские рейсы,Корпоративный,20
K7FJFEN7,Надежда Олеговна Ковалева,1969-11-30,3346.31,28,63.4,Т,261,КС,90,Т261КС90,Аккуратный городской водитель,Стандартный,15
YBUTC5VU,Вышеслав Харлампович Трофимов,1988-03-20,1007.38,75,51.9,В,262,АА,142,В262АА142,Регулярные межгородские рейсы,Премиум,30
Z88M868R,Фадеева Октябрина Натановна,1999-01-08,2607.85,69,89.1,К,526,РО,154,К526РО154,Новичок на платформе,Премиум,29
SP896ZBH,Тетерина Ия Альбертовна,1998-12-24,4846.77,25,50.8,А,385,НХ,134,А385НХ134,Новичок на платформе,Стандартный,11
2PNR2R7T,Елисеева Елизавета Вадимовна,1982-10-22,3477.42,47,43.7,В,934,КХ,61,В934КХ61,Предпочитает ночные рейсы,Стандартный,26
4RLJ7UGT,Ювеналий Ефимьевич Лихачев,1985-10-28,2630.22,19,63.4,Р,167,РУ,113,Р167РУ113,Частые длинные поездки по МКАД,Базовый,16
SSAXTDRH,Кондратьева Мария Натановна,1978-07-30,1842.79,99,83.0,С,347,ТН,38,С347ТН38,Много коротких заказов в центре,Премиум,25
HPTUTKS6,Мирон Игнатович Юдин,1979-11-19,1503.86,30,37.1,М,081,КТ,61,М081КТ61,Частые длинные поездки по МКАД,Стандартный,1
BHQHATE9,Миронов Касьян Арсеньевич,2000-03-14,3428.73,98,87.3,О,330,НР,777,О330НР777,Регулярные межгородские рейсы,Премиум,1
44PP2CQ2,Виктория Филипповна Полякова,1970-03-26,1429.5,112,80.4,О,829,РУ,163,О829РУ163,Часто ездит в час пик,Корпоративный,15
66QFQT3J,Велимир Филимонович Ермаков,1982-05-05,4968.08,19,30.6,А,060,АС,790,А060АС790,Опытный водитель такси,Базовый,30
